"","n_three_level_gender_mimimean","n_three_level_gender_mixedmean","n_three_level_gender_oneonemean","coef_gender_composition_two_eff_sib0mean","coef_gender_composition_two_eff_se_sib0mean","coef_gender_composition_two_eff_t_sib0mean","coef_gender_composition_two_eff_p_sib0mean","coef_gender_composition_two_eff_sib2mean","coef_gender_composition_two_eff_se_sib2mean","coef_gender_composition_two_eff_t_sib2mean","coef_gender_composition_two_eff_p_sib2mean","coef_con_diffxgender_composition_two_eff_sib2mean","coef_con_diffxgender_composition_two_eff_se_sib2mean","coef_con_diffxgender_composition_two_eff_t_sib2mean","coef_con_diffxgender_composition_two_eff_p_sib2mean"
"2",29.943,60.114,29.943,-0.294979619081277,0.165542126061303,-1.79958162108899,0.181558981053967,-0.54858042728287,0.235757778868003,-2.34911371556496,0.0767930775126568,0.0247312152711516,0.0165260142013286,1.51794240742904,0.241639108437864
"3",127.477,255.046,127.477,-0.298395607907618,0.079696169706274,-3.7528862600168,0.00923010970637701,-0.544108690351642,0.112525880007864,-4.84814178496274,0.000209177890477828,0.0239378219320515,0.00780355572517031,3.0771410266825,0.0356412720233123
"4",7.508,14.984,7.508,-0.305025508237622,0.383578306624559,-0.837020019191497,0.405214450694977,-0.554774009801012,0.540096920394999,-1.08532433241655,0.345059809697464,0.0249353525984052,0.0377612983212743,0.696478335376837,0.429088534493352
"5",30.051,59.898,30.051,-0.281469799927539,0.183084580575004,-1.55706405747411,0.242710940107271,-0.534043708820828,0.24914119287882,-2.17132619382052,0.102836578955873,0.0247309211841821,0.0166343401135896,1.51093812647676,0.26078825873261
"6",127.451,255.098,127.451,-0.290961625543583,0.0876370138256607,-3.32878629243551,0.0187883239094514,-0.536570296192291,0.11798157309804,-4.56054655000583,0.000627737090943894,0.0239890114278673,0.00780071953210815,3.08732049301277,0.0382014005817667
"7",7.442,15.116,7.442,-0.315499575635072,0.598127367748353,-0.560135552291986,0.467015653914797,-0.549813825758356,0.705419912755232,-0.831344552132889,0.424157040149074,0.0243980444354977,0.0375420423883755,0.712451084713094,0.421140580402193
"8",29.962,60.076,29.962,-0.284756988144866,0.281950389377617,-1.02674258664105,0.352454411645463,-0.53105682220937,0.327217086307807,-1.6458995737752,0.208074800991443,0.0241064434100715,0.0165076090832417,1.48236315139,0.257537487088221
"9",127.707,254.586,127.707,-0.293475810775856,0.135149891583424,-2.17679165855177,0.119995791045862,-0.53782596486041,0.155685224773449,-3.46189943380016,0.0138582479125032,0.0239900754555068,0.00779291591662468,3.08971128182344,0.0340006704876127
"10",7.451,15.098,7.451,-2.09710477484257,0.521875375044431,-4.74672284393973,0.0265115453700845,-2.44073615070822,0.658263854535113,-4.31120923783644,0.0135616373806717,0.0377537655065924,0.0456400472649729,0.709106566119736,0.372432778388365
"11",29.994,60.012,29.994,-2.05092625012481,0.261574244724668,-8.06118942461502,2.06499590236321e-06,-2.38858091366903,0.315756340846967,-7.74249558487027,3.9845795470622e-08,0.038456393147475,0.0208407871766227,1.81392350399058,0.186351152877416
"12",127.504,254.992,127.504,-2.04787250092151,0.126213453608306,-16.3269181870758,8.96228425110299e-25,-2.38056200650798,0.150855791473532,-15.8561942597308,5.21528451070033e-32,0.0382909184087247,0.00983105506623062,3.88206160125795,0.0101044567907674
"13",7.454,15.092,7.454,-2.08160857347611,0.640913597747819,-3.86468200600113,0.0505465021789064,-2.41584025839748,0.765813214904545,-3.66253548314685,0.0266487753430838,0.0354657433174781,0.0459530772366402,0.655343814829383,0.404906058549289
"14",30.119,59.762,30.119,-2.07868613534501,0.316402864221872,-6.78203044768192,4.92329162110997e-05,-2.40511895007838,0.361181346037599,-6.83410879687544,2.3749551115532e-06,0.0370051399247928,0.0207537064643698,1.74832308155654,0.194381622762728
"15",127.706,254.588,127.706,-2.04894291942591,0.153340468895172,-13.4547546518386,1.94889624156738e-21,-2.38355310730848,0.173452780130813,-13.811410040729,3.91789717930877e-25,0.0385416527180469,0.0098249712970938,3.90422096375436,0.0108691337066396
"16",7.512,14.976,7.512,-2.10268991382264,1.18863446617751,-2.1439757083518,0.192264975456237,-2.40274114094677,1.26455513826246,-2.21893348171965,0.143412142896843,0.032550552359401,0.0449107724730362,0.593493061412237,0.385166046423874
"17",30.012,59.976,30.012,-2.05582926352933,0.599671720571726,-3.55331661419308,0.0160557510409568,-2.39345396687978,0.620895050938808,-3.95296843916354,0.00362156739485138,0.0379483878630751,0.0207138459404575,1.79161882748232,0.188071295870205
"18",127.852,254.296,127.852,-2.05272001724809,0.289285927776024,-7.14930659513647,9.9324563021733e-08,-2.38677096440361,0.297732065520545,-8.05880620316461,1.06950995735073e-10,0.0385168576337438,0.00985757471222323,3.89363106556413,0.00857066968087003
"19",7.535,14.93,7.535,-4.56006455160189,0.40646655760112,-13.0059487644547,0.000322275926285743,-4.54330723609265,0.485074115266193,-10.9909447821103,0.000477335557554207,-0.00692914229521842,0.0330907145665207,-0.500717047109899,0.396242554400224
"20",30.077,59.846,30.077,-4.48697460604744,0.221467877638212,-22.0921543008195,8.17218034086615e-19,-4.49032225410885,0.255666751051391,-19.1620625036925,1.71270175078905e-16,-0.000387139804869961,0.0165010482276801,-0.355592540930805,0.338023088401496
"21",127.488,255.024,127.488,-4.49651828933521,0.108551161417137,-42.4108398088007,1.59820972917438e-106,-4.48962322178775,0.124825582471802,-36.8175050291945,1.1549695395073e-89,-0.00110573612251643,0.0079400292742212,-0.324351875800381,0.362088019825137
"22",7.54,14.92,7.54,-4.56154337905787,0.506644273695404,-10.6070746689527,0.00110765910253403,-4.52816483411818,0.576245968019834,-9.32651911219303,0.000813619869385031,-0.00725277437183556,0.0339821093405679,-0.528883701876377,0.39008970267991
"23",30.07,59.86,30.07,-4.51254525255539,0.265697182566542,-18.5014233593471,1.15608109376407e-13,-4.50218049182402,0.293623531865518,-16.7167173383292,2.24261833931883e-13,-0.00243298667086433,0.0161402452921851,-0.47962481111601,0.339298016442089
"24",127.413,255.174,127.413,-4.50545522259859,0.132112288104256,-34.9108524595278,1.62495533389253e-75,-4.49841067640008,0.1458086239765,-31.5781655780212,6.39714854720558e-73,-0.00118700611277449,0.00791495300032733,-0.332065139537796,0.37047514062336
"25",7.511,14.978,7.511,-4.46981632553915,0.967054083989117,-5.53018184045419,0.0244895668259113,-4.47702879538107,1.01743182066737,-5.24484587883009,0.0152207045548777,-0.00523412365413431,0.0341767812582651,-0.466956326319919,0.395794331851288
"26",29.845,60.31,29.845,-4.52383981412388,0.50120068938899,-9.90031612266736,1.04767134117699e-05,-4.50832868962276,0.516140889858313,-9.53836176571516,2.62122034022982e-06,-0.00233378911050459,0.0160549391013304,-0.480764527699377,0.342098142748512
"27",127.544,254.912,127.544,-4.4998989062603,0.251180234938531,-18.366111319075,3.64807393125458e-28,-4.49462668257259,0.258493982427806,-17.7954744288664,5.84910930066964e-30,-0.000742872526411257,0.00791004107665963,-0.282253330911075,0.358297575183958
"28",7.523,14.954,7.523,-0.507167963175984,0.400865556444811,-1.31856427385241,0.316773840643291,-0.773590297565835,0.572321128710144,-1.3935709615042,0.279249724871506,0.027178656048163,0.0419720079699658,0.673207197290087,0.407882103403384
"29",30.02,59.96,30.02,-0.515945215047602,0.192835447414799,-2.69599851769293,0.0588533483145204,-0.782367364077685,0.267903819335659,-2.93028295023482,0.0266804561216302,0.0266895958942856,0.0187719204047165,1.42368352054284,0.274453990023194
