"","condition","ICC_MLM0mean","pseudo_ICC_MLM1mean","pseudo_ICC_MLM2mean","pseudo_ICC_MLM3mean","pseudo_ICC_MLM4mean","pseudo_ICC_MLM5mean","pseudo_ICC_MLM6mean","CN","beta1","beta2","beta3","ICC"
"49",49,0.393439492929943,0.900845110277894,0.928406622084909,0.106292044945693,0.114534477180429,0,0,30,0.3,0.5,0.1,0.4
"50",50,0.398482861569995,0.899260469026365,0.927267555800527,0.0619779387808394,0.0627705299411005,0,0,120,0.3,0.5,0.1,0.4
"51",51,0.39999041334382,0.899322258425229,0.927208382897481,0.0427761336684953,0.0428338257134797,0,0,510,0.3,0.5,0.1,0.4
"52",52,0.79462897360183,0.981844345939504,0.983727632209726,0.109190787357182,0.112575168978438,0,0,30,0.3,0.5,0.1,0.8
"53",53,0.798991485754905,0.98151739578163,0.983318001124868,0.0638908143307982,0.0645116587542839,0,0,120,0.3,0.5,0.1,0.8
"54",54,0.799562856330865,0.981448032800923,0.983240012935205,0.0415427315818855,0.0415228852387211,0,0,510,0.3,0.5,0.1,0.8
"55",55,0.209691967423125,0.155068115278641,0.297826999522317,0.130470787212789,0.132449685263516,0.105376076008873,0.217274016478819,30,0.3,0.1,0.3,0.2
"56",56,0.206257685455871,0.12865714996759,0.286792332440429,0.0951076108664608,0.0960081023987061,0.063762525496906,0.186969502689334,120,0.3,0.1,0.3,0.2
"57",57,0.199836500160428,0.12318958630478,0.284192032249504,0.0840778693364319,0.0844001441123014,0.0474662979124391,0.184684923704507,510,0.3,0.1,0.3,0.2
"58",58,0.392754387744312,0.203427755018871,0.292143201968237,0.12665807634403,0.129244789313894,0.0992083527628551,0.250370077547701,30,0.3,0.1,0.3,0.4
"59",59,0.397787344655716,0.181348930487371,0.275492890337286,0.0928742636326319,0.0935810424259652,0.0626145349853358,0.206272141968015,120,0.3,0.1,0.3,0.4
"60",60,0.398767817928424,0.181788553831066,0.273223251283068,0.0823126450308936,0.0825299969008983,0.0461766312541332,0.201896246837066,510,0.3,0.1,0.3,0.4
"61",61,0.790040436107903,0.477072929239126,0.510101047397805,0.127326840602941,0.129033070706172,0.101925327359282,0.165383286612896,30,0.3,0.1,0.3,0.8
"62",62,0.797794143215281,0.470908006653211,0.49785286914451,0.0940015372137122,0.0946342655913672,0.063708286722268,0.109357021548206,120,0.3,0.1,0.3,0.8
"63",63,0.799665374438729,0.472053572597574,0.498732042419553,0.0848672303609601,0.0849378806171909,0.048549826294034,0.0973615980078538,510,0.3,0.1,0.3,0.8
"64",64,0.209588886032698,0.287589822805682,0.549283914245214,0.113096268991137,0.117206044944842,0.00970559935089002,0.0196061598236389,30,0.3,0.3,0.3,0.2
"65",65,0.196987400427434,0.28571768566012,0.553868323905131,0.0695292365885898,0.0703353152479861,0.000132111542529314,0.000550436862087449,120,0.3,0.3,0.3,0.2
"66",66,0.199505889721464,0.287120580318989,0.554267182204085,0.053995826290955,0.0540632170826832,0,0,510,0.3,0.3,0.3,0.2
"67",67,0.393868568033706,0.500044454272528,0.657448879450341,0.112406396726088,0.114602629992224,0.0118968588403929,0.0253610266510159,30,0.3,0.3,0.3,0.4
