"","condition","ResSE_sib0mean","ResSE_sib1mean","ResSE_sib2mean","ResSE_sib3mean","ResSE_df_sib0mean","ResSE_df_sib1mean","ResSE_df_sib2mean","ResSE_df_sib3mean","ResSD_MLM0mean","ResSD_MLM1mean","ResSD_MLM2mean","ResSD_MLM3mean","ResSD_MLM4mean","ResSD_MLM5mean","ResSD_MLM6mean","RMSE_sib0mean","RMSE_sib1mean","RMSE_sib2mean","RMSE_sib3mean","RMSE_MLM0mean","RMSE_MLM1mean","RMSE_MLM2mean","RMSE_MLM3mean","RMSE_MLM4mean","RMSE_MLM5mean","RMSE_MLM6mean"
"29",29,1.99790084791015,1.93911625281053,1.9780475600511,1.79272673302272,115,114,114,112,3.44983093621528,1.41003373264935,1.07957870554274,1.72382002051318,1.72243670544803,1.72221702212039,1.57798237804098,1.95583506628075,1.89001673268208,1.92796227720692,1.73193856607984,3.16096863779433,1.19989793429577,0.874658422776867,1.53919559946583,1.53449088408533,1.60364530268799,1.43830574386377
"30",30,2.00078547281902,1.94200187550006,1.98232148262291,1.7905177132635,505,504,504,502,3.46408877541302,1.41443892947283,1.08048336483177,1.73337179829313,1.7330214809816,1.73334680386744,1.5861688733544,1.99095354367318,1.93054453730317,1.97062626856163,1.77641892919335,3.16510985172572,1.20534022414451,0.87901878601658,1.54978985155216,1.54860899868594,1.62049564607482,1.45449353668475
"31",31,1.97574126361276,1.92120632563569,1.95043444973616,1.79440208990269,25,24,24,22,3.44487100849987,1.38724449873279,1.15991426605792,1.70329884549903,1.69917097426464,1.68869583340585,1.5712063481105,1.80359676312412,1.7183791771696,1.74452160610698,1.53663414562953,2.94381391531506,1.13013478048326,0.906178421625794,1.50443643413483,1.48771315805216,1.53404371342987,1.38193701768958
"32",32,2.00145276191945,1.94351880427415,1.97939836321416,1.79563822386296,115,114,114,112,3.44684150845515,1.4114586444604,1.18334303029743,1.73054606377121,1.72934889077351,1.72847597752442,1.60114197053289,1.95931219477742,1.89430780905292,1.92927887726999,1.73475133345711,2.91712335254704,1.16448005594612,0.94528722571133,1.54531453490842,1.54085025667961,1.6095699045849,1.45228014961123
"33",33,2.00546103857631,1.94725965488089,1.98670740388648,1.79646876598893,505,504,504,502,3.45939698197299,1.41201086743703,1.18858009967114,1.73099253775491,1.73086004442451,1.73095225428769,1.60106599798975,1.99560613353831,1.93577129706589,1.97498631395769,1.7823231225067,2.92619425378859,1.16804765789277,0.954909159565118,1.54760842790372,1.54674367330969,1.617916272616,1.45909068325579
"34",34,1.98647655693609,1.93337984485842,1.95791731052641,1.80423766741901,25,24,24,22,3.41859118366245,1.39662817400138,1.33037355847797,1.71718637634391,1.7145715728696,1.70332025927708,1.6473350981121,1.81339670031515,1.72926750377257,1.75121448026425,1.54505683101236,2.55622113694263,1.03910175348358,0.970737803647802,1.52194952054925,1.50736628578592,1.55501689065959,1.46228676126775
"35",35,2.01526017467594,1.95736938162979,1.99402287640622,1.80963447854324,115,114,114,112,3.47418939956441,1.41387498177066,1.34572561084697,1.72996383247351,1.72937853498743,1.72824781705669,1.67152959717296,1.97282889260155,1.90780768195714,1.94353308951759,1.74827300009761,2.59257772802791,1.0670876524306,1.00681804323333,1.54546373764092,1.54193655375682,1.61057309572609,1.53036117953968
"36",36,2.02030871812424,1.96176971932099,2.00054295974068,1.8109522948353,505,504,504,502,3.46170459998055,1.41426190209162,1.35119636134024,1.73282149637952,1.73273916553898,1.73281766384998,1.67862213831739,2.01038085107443,1.95019575565893,1.98874024340125,1.79669260604412,2.5806704548383,1.07108922500982,1.01749310095807,1.54996350289541,1.54930738311516,1.62105334809825,1.54727545538135
"37",37,2.39624661697853,2.38568355918959,2.35699062742698,2.26475882155188,25,24,24,22,4.3846311314008,1.3909931017813,1.06256258343799,3.23118373671913,3.21715218808143,2.75629285071072,2.69945788691801,2.1874638757743,2.13382024446062,2.10815650610264,1.9394235864945,4.00124807724397,1.07988624735928,0.782095398479645,2.98648811520789,2.94347223719616,2.66264432645878,2.56055827447549
"38",38,2.47238589806757,2.47011498193321,2.43899035051041,2.33949925474986,115,114,114,112,4.45443029065495,1.40390299501412,1.08140064205042,3.29514832086034,3.2935820191442,2.74081915977961,2.66930070957256,2.42032983862873,2.40757027369345,2.37723373553985,2.26017100653398,4.06758530972692,1.10387433968065,0.817600372171878,3.13685705361344,3.12832289718143,2.71788303136309,2.63572326338928
