"","condition","ICC_MLM0mean","REMLcriterion_MLM0mean","REMLcriterion_MLM1mean","REMLcriterion_MLM2mean","REMLcriterion_MLM3mean","REMLcriterion_MLM4mean","REMLcriterion_MLM5mean","REMLcriterion_MLM6mean","AIC_sib0mean","AIC_sib1mean","AIC_sib2mean","AIC_sib3mean","BIC_sib0mean","BIC_sib1mean","BIC_sib2mean","BIC_sib3mean","rsquared_sib0mean","adj_rsquared_sib0mean","rsquared_sib1mean","adj_rsquared_sib1mean","rsquared_sib2mean","adj_rsquared_sib2mean","rsquared_sib3mean","adj_rsquared_sib3mean","marg_rsquared_MLM0mean","cond_rsquared_MLM0mean","marg_rsquared_MLM1mean","cond_rsquared_MLM1mean","marg_rsquared_MLM2mean","cond_rsquared_MLM2mean","marg_rsquared_MLM3mean","cond_rsquared_MLM3mean","marg_rsquared_MLM4mean","cond_rsquared_MLM4mean","marg_rsquared_MLM5mean","cond_rsquared_MLM5mean","marg_rsquared_MLM6mean","cond_rsquared_MLM6mean"
"11",11,0.202240692652423,1434.56371874687,917.35642623225,924.16237008288,1261.1196149869,1266.09931797585,1137.59593242428,1148.1240557375,555.679886982142,556.799062264576,553.134918655625,555.861609769619,572.404837438835,576.31150446405,572.647360855099,580.949035454657,0.57126842255284,0.556356019859026,0.574366657298153,0.555698528232282,0.58912654348364,0.571105777846957,0.593359931281538,0.567944926986634,0,0.202240692652423,0.836863722122482,0.958018426220944,0.836899485021231,0.958058956691047,0.53417488367714,0.582235036563075,0.535067275579212,0.583305449971709,0.724378810345348,0.724378810345348,0.724120770992301,0.724120770992301
"12",12,0.1989455561494,6103.69357982758,3880.60942994372,3889.02995059655,5345.30129020127,5351.76984173602,4816.82132572821,4830.24220974271,2350.1171799523,2351.25179738924,2336.01588383796,2338.81673850359,2375.52364430661,2380.89267246927,2365.65675891799,2376.92643503505,0.564572699802884,0.561123770692412,0.565306074648232,0.560993634912599,0.578607776326812,0.574427297917356,0.579588148899432,0.57372583225062,0,0.1989455561494,0.836879253526305,0.957864384508913,0.836886242767932,0.957859147745647,0.536179402899732,0.578959393151217,0.536393495244952,0.579159293071082,0.725679883630428,0.725679883630428,0.725641883969488,0.725641883969488
"13",13,0.385582660091831,368.746324522844,253.782638662308,259.392537152968,315.613727584358,319.229628241681,284.951127640058,293.010548364081,138.799894432353,139.58169110554,138.595226479603,140.572387996099,147.207078722326,149.390072777175,148.403608151238,153.183164431058,0.61781931399939,0.556670404239292,0.632386101298868,0.555799872402799,0.649376708649177,0.576330189617755,0.669169422283793,0.563905147555909,0,0.385582660091831,0.751359550027943,0.967997765215973,0.751601333114255,0.968047289237697,0.638775763943427,0.690412928639234,0.64138939853781,0.694009033309769,0.784079263058142,0.784083277611238,0.782305835678749,0.782330932193228
"14",14,0.395252470571512,1486.8013813512,1009.63795528272,1016.75980578904,1261.14459529417,1266.36478213534,1137.00979386198,1148.24149964377,554.671389039919,555.822140466225,552.388759166084,555.167424134755,571.396339496611,575.3345826657,571.901201365558,580.254849819794,0.577772954376213,0.563086796267559,0.580776284933744,0.562389279886978,0.59432604922398,0.57653333208468,0.598377727102421,0.573276335046323,0,0.395252470571512,0.753094689925987,0.968384019767276,0.753165972536486,0.968384096458614,0.648743337842912,0.685742497145171,0.649356613653025,0.686341994040729,0.792859556883951,0.792859556883951,0.792469134086929,0.792469134086929
"15",15,0.401045000367953,6329.21010994475,4276.07116159608,4284.68300401293,5346.52175952177,5353.25688403846,4817.30948998174,4831.45024064736,2350.32544896339,2351.50702108652,2335.92489469081,2338.75239639663,2375.7319133177,2381.14789616655,2365.56576977084,2376.86209292809,0.563026279962042,0.559565101981544,0.56372264933468,0.559394501014588,0.577469879723241,0.573278112657003,0.578433427120952,0.572555008774033,0,0.401045000367953,0.752455469917269,0.968455191684785,0.752465838204943,0.968454063398601,0.651994549187463,0.68455685857062,0.652118197123298,0.68472145270151,0.794378718602268,0.794378718602268,0.794302027258596,0.794302027258596
"16",16,0.788646071708122,407.515303053732,302.481773932163,309.144096536997,316.493671730584,321.187863542986,285.966283579193,296.402369799834,137.390005538911,138.238619600285,137.206853254875,139.317309658341,145.797189828883,148.04700127192,147.01523492651,151.9280860933,0.629683915435795,0.570433341905522,0.643088477900451,0.568731910796378,0.658409394970077,0.587244685588843,0.675874331996071,0.572743437631185,0,0.788646071708122,0.57719812525295,0.989235603035176,0.57743988884481,0.989224684431027,0.874293101938182,0.892306416901373,0.874625865699062,0.893137087385049,0.92516148634559,0.92516148634559,0.923885268399453,0.923885268399453
"17",17,0.798082530899433,1647.86679592762,1210.28821817822,1218.44621557109,1262.39157843735,1268.73757387412,1139.92987723101,1153.50689676579,554.313305506143,555.396058883668,551.844591457013,554.54494217653,571.038255962835,574.908501083142,571.357033656487,579.632367861568,0.573773996173624,0.558948743866619,0.577052356081596,0.558502020822017,0.59129253959009,0.573366773782637,0.595671209984382,0.570400660608405,0,0.798082530899433,0.581834610144165,0.989382076887968,0.581895461438845,0.989383603738164,0.882292463009034,0.894306930694048,0.882355408297632,0.894405453394735,0.930138115048592,0.930138115048592,0.929894026396264,0.929894026396264
"18",18,0.800352281277968,7013.55864535391,5126.38094859599,5135.95279951548,5347.9508424041,5355.86048509306,4816.21245347924,4832.87056206337,2349.94808541904,2351.09392611551,2335.72132998182,2338.52482812153,2375.35454977335,2380.73480119554,2365.36220506185,2376.63452465299,0.562179433890085,0.558711548217927,0.562916022332926,0.558579871760832,0.576429812683501,0.57222772749187,0.577420133925884,0.571527585992579,0,0.800352281277968,0.583301800511289,0.989446647634786,0.583315719557308,0.989448524612282,0.883524500943243,0.894776817654727,0.883531007463811,0.894796349140715,0.931386518368705,0.931386518368705,0.931326920219755,0.931326920219755
"19",19,0.20740020189213,392.061486616451,253.161438048789,258.446105030302,367.266017902823,369.673022991768,329.800184813733,335.741380099322,118.530684914382,119.350408753838,118.351820527701,119.871366041811,126.937869204355,129.158790425473,128.160202199336,132.48214247677,0.870751989028056,0.850072307272545,0.875146322334232,0.849135139487197,0.880519037679319,0.855627170529177,0.888043046612621,0.852420379625728,0,0.20740020189213,0.825006348940248,0.976921352198227,0.825153856413424,0.976963244507551,0.370243287239719,0.443522058315333,0.378518479364042,0.455721832693371,0.657000367847746,0.657000367847746,0.655320312887277,0.655320312887277
"20",20,0.20579415670973,1580.87035672883,1008.72294459471,1015.50339208045,1475.83600917374,1479.86320837092,1327.45499346543,1336.56212518538,493.822460909122,494.814034702737,493.203775960199,495.408670529767,510.547411365814,514.326476902211,512.716218159673,520.496096214805,0.838181008051018,0.832552521374531,0.839455313161507,0.83241387952824,0.84118788568516,0.83422244207486,0.843212671971822,0.833413463970061,0,0.20579415670973,0.823978417490627,0.977092287446122,0.824029224697352,0.977090257836862,0.379789028009643,0.419974969588921,0.381569326831021,0.422237744184331,0.666626363332742,0.666626363332742,0.666251778827533,0.666251778827533
"21",21,0.202171209481276,6726.63185799894,4267.8296761637,4276.04506760221,6262.70357539531,6268.31108953571,5632.27578438956,5644.43216682653,2122.80098307206,2123.90325331491,2122.07184721577,2124.59529672654,2148.20744742637,2153.54412839494,2151.7127222958,2162.70499325801,0.837970989417962,0.836687591314341,0.838256501843442,0.836651903647445,0.838712460291949,0.837112385493258,0.839168952208285,0.836926288195253,0,0.202171209481276,0.823833588495493,0.977092138514757,0.823841805004879,0.977095711663277,0.382643860685881,0.40984853454437,0.38300849272647,0.410231665160051,0.668125367459708,0.668125367459708,0.668017503258834,0.668017503258834
"22",22,0.39807315509917,404.959151402049,280.068529280729,285.665704928087,367.570657541942,370.270942538076,330.285674945531,337.001384207415,119.188866130382,119.845858243601,118.949564967579,120.366058015318,127.596050420355,129.654239915236,128.757946639214,132.976834450278,0.867080778410522,0.845813702956205,0.872384674012671,0.84579814776531,0.877254407734463,0.851682409345809,0.885166687579154,0.848628815445248,0,0.39807315509917,0.68315972437002,0.982614289613687,0.68329460838843,0.982601297287671,0.522671583465428,0.576333973965544,0.527037093114023,0.583926589150347,0.739388308625875,0.739388308625875,0.736420295312109,0.736420295312109
"23",23,0.402321295291917,1633.47707656471,1117.9118064745,1124.9677463819,1475.84689540335,1480.17413956371,1327.68633359034,1337.5757317995,490.021197611195,491.122084875601,489.238947862207,491.539056498573,506.746148067887,510.634527075075,508.751390061682,516.626482183611,0.843902367944487,0.838472885090382,0.845040917723567,0.838244466746531,0.84680284286042,0.840083669301666,0.848675550809935,0.839217772735556,0,0.402321295291917,0.683585071403871,0.98272341745216,0.68361666031539,0.982729781218645,0.534123787557655,0.564499131024571,0.535131172267396,0.565747051346569,0.749541747305805,0.749541747305805,0.748880113250694,0.748880113250694
"24",24,0.398504615951151,6953.99159485611,4731.47524772477,4739.94818005951,6264.47755144594,6270.37477891932,5635.7476936322,5648.64974521163,2122.01977639974,2123.02466300236,2121.33396848409,2123.77148925699,2147.42624075405,2152.66553808239,2150.97484356412,2161.88118578846,0.839181016127925,0.837907202394285,0.839492564373939,0.837900228703045,0.839885215708321,0.838296775387968,0.840358883937775,0.838132812598262,0,0.398504615951151,0.684387835707528,0.982873016476891,0.684396887340485,0.982875459838852,0.536671662828414,0.556151917740854,0.536875199173268,0.556386679692715,0.750503686419144,0.750503686419144,0.750343623130548,0.750343623130548
"25",25,0.796306880038087,443.844314074335,331.026829937754,337.683586664216,368.620551201045,372.398615077519,331.595984466939,340.687301112737,119.58242610808,120.314036875218,119.346212805138,120.774095964365,127.989610398053,130.122418546853,129.154594476773,133.384872399325,0.859924549067209,0.837512476917962,0.864767343042598,0.836593872843139,0.871032213857868,0.844163925078257,0.878867328354618,0.840325114649269,0,0.796306880038087,0.400617000646708,0.994175251148048,0.400633856449516,0.994165295842861,0.835582584552445,0.854309900213484,0.836050990769216,0.855715527399479,0.910214862754481,0.910214862754481,0.908120153201501,0.908120153201501
"26",26,0.797147413902405,1794.07110658966,1325.13130346431,1333.35464824403,1477.25585098718,1482.77765036104,1331.13213509435,1343.5676056699,487.323554576698,488.300822711383,486.638315337669,488.903550488236,504.04850503339,507.813264910857,506.150757537143,513.990976173274,0.846869168452661,0.84154287865971,0.84818055320363,0.841521805537123,0.849642141980829,0.843047499085251,0.851608643951207,0.842334184198158,0,0.797147413902405,0.403947685707801,0.994313830754726,0.403983482759453,0.99431170504128,0.842716806181469,0.851976606794484,0.842781190925787,0.852139281600096,0.914689348329462,0.914689348329462,0.914214794830331,0.914214794830331
"27",27,0.799439193751854,7637.90601666273,5625.04845683552,5634.64239953263,6264.75502625838,6271.65834986502,5634.6981620842,5650.14037266705,2121.90819846972,2123.01940629472,2121.07468002736,2123.57937956983,2147.31466282403,2152.66028137475,2150.71555510739,2161.68907610129,0.837952413668776,0.836668868430509,0.838236092225438,0.836631291553071,0.838740767626277,0.837140973654316,0.83919849927618,0.836956247274055,0,0.799439193751854,0.404056340846808,0.994279609035234,0.404074438631086,0.994280370260891,0.844915798757777,0.851669184275732,0.844951057293675,0.851707267908674,0.916621538522003,0.916621538522003,0.916516401398439,0.916516401398439
"28",28,0.206340981763171,327.842611556717,238.522139986462,222.706570444879,253.828535848511,258.096416691319,245.961874632291,246.62927114792,131.525316601933,130.443672922295,131.319787768843,127.354209632817,139.932500891906,140.25205459393,141.128169440478,139.964986067776,0.61299804176323,0.551077728445347,0.648465103494163,0.575228666722114,0.638443526131972,0.563119260742799,0.715239628397884,0.624634055615392,0,0.206340981763171,0.782577825677798,0.864778018364512,0.837590329486332,0.919150037169804,0.726657492648618,0.799267026421086,0.729213206384141,0.80178455718801,0.762892072767326,0.802981110457189,0.790895064559513,0.832288138750832
"29",29,0.195633148528616,1322.16685282899,948.497120971364,867.615732781087,1011.17553648882,1016.9281791826,984.921668045232,964.802358973177,512.951850531753,506.75881334111,511.532864540321,489.709885425671,529.676800988445,526.271255540584,531.045306739796,514.79731111071,0.578647808501244,0.563992080101287,0.606290796824216,0.589022849316506,0.590558744023617,0.572600794200092,0.668128839916875,0.64738689241168,0,0.195633148528616,0.785030778614956,0.86544336906632,0.8400737272185,0.920900271499591,0.731455997379523,0.798729639592444,0.732037026629083,0.799274200491518,0.765001662432524,0.799169656963694,0.792919574698464,0.831532080095857
"30",30,0.199009401911492,5635.52050924722,4017.10742004243,3643.98603285665,4288.90816529183,4296.16870951154,4176.46103169657,4055.0306579199,2161.15829765063,2131.74859944748,2152.72149908916,2050.80632978704,2186.56476200494,2161.38947452751,2182.36237416919,2088.91602631851,0.572186051474437,0.568797426139581,0.597681552851536,0.593690298415539,0.580860908475262,0.576702782567279,0.659007222941311,0.654252343579935,0,0.199009401911492,0.786093795425395,0.866410271209509,0.841778872831953,0.921942564052791,0.732473975552641,0.799345138742096,0.73259684140059,0.799478628207431,0.76607855851481,0.799372110533681,0.794119927560375,0.83224742020848
"31",31,0.384142078818524,340.675598895898,244.196033820509,236.054102536619,253.637995018237,258.312968929248,245.773138594762,248.757343525053,131.843531383578,130.918143059832,131.83411548646,128.02873430011,140.250715673551,140.726524731467,141.642497158095,140.63951073507,0.60821052865179,0.545524213236077,0.643086373079751,0.568729367471366,0.632475146613091,0.555907468824151,0.710551675695269,0.618454481598309,0,0.384142078818524,0.810620475956739,0.899451793279482,0.84117870451129,0.929458884628373,0.794744878124724,0.848374591530377,0.795925962335723,0.849577479863532,0.821816279271678,0.85124970675199,0.837664872006326,0.871633488558721
