"","condition","f_p_sib0","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","CN","beta1","beta2","beta3","ICC"
"41",41,1,1,0.984,0.374,1,1,120,0.3,0.3,0.1,0.4
"42",42,1,1,1,0.961,1,1,510,0.3,0.3,0.1,0.4
"43",43,0.966,1,0.401,0.287,0.921,0.893,30,0.3,0.3,0.1,0.8
"44",44,1,1,0.983,0.904,1,1,120,0.3,0.3,0.1,0.8
"45",45,1,1,1,1,1,1,510,0.3,0.3,0.1,0.8
"46",46,1,1,0.418,0.066,0.958,1,30,0.3,0.5,0.1,0.2
"47",47,1,1,0.978,0.103,1,1,120,0.3,0.5,0.1,0.2
"48",48,1,1,1,0.186,1,1,510,0.3,0.5,0.1,0.2
"49",49,0.999,1,0.395,0.051,0.961,0.999,30,0.3,0.5,0.1,0.4
"50",50,1,1,0.98,0.062,1,1,120,0.3,0.5,0.1,0.4
"51",51,1,1,1,0.154,1,1,510,0.3,0.5,0.1,0.4
"52",52,0.999,1,0.366,0.195,0.954,0.994,30,0.3,0.5,0.1,0.8
"53",53,1,1,0.973,0.696,1,1,120,0.3,0.5,0.1,0.8
"54",54,1,1,1,1,1,1,510,0.3,0.5,0.1,0.8
"55",55,0.847,0.989,0.16,0.058,0.873,0.121,30,0.3,0.1,0.3,0.2
"56",56,1,1,0.528,0.08,1,0.416,120,0.3,0.1,0.3,0.2
"57",57,1,1,0.983,0.163,1,0.951,510,0.3,0.1,0.3,0.2
"58",58,0.829,0.978,0.173,0.09,0.857,0.149,30,0.3,0.1,0.3,0.4
"59",59,1,1,0.539,0.202,1,0.546,120,0.3,0.1,0.3,0.4
"60",60,1,1,0.985,0.631,1,0.988,510,0.3,0.1,0.3,0.4
"61",61,0.799,0.978,0.148,0.127,0.846,0.185,30,0.3,0.1,0.3,0.8
"62",62,1,1,0.513,0.424,1,0.647,120,0.3,0.1,0.3,0.8
"63",63,1,1,0.981,0.96,1,0.999,510,0.3,0.1,0.3,0.8
"64",64,0.972,0.999,0.489,0.048,0.695,0.822,30,0.3,0.3,0.3,0.2
"65",65,1,1,0.983,0.053,0.999,1,120,0.3,0.3,0.3,0.2
"66",66,1,1,1,0.048,1,1,510,0.3,0.3,0.3,0.2
"67",67,0.964,1,0.496,0.087,0.642,0.842,30,0.3,0.3,0.3,0.4
"68",68,1,1,0.988,0.326,1,1,120,0.3,0.3,0.3,0.4
"69",69,1,1,1,0.882,1,1,510,0.3,0.3,0.3,0.4
"70",70,0.927,1,0.49,0.367,0.542,0.756,30,0.3,0.3,0.3,0.8
"71",71,1,1,0.988,0.933,0.999,1,120,0.3,0.3,0.3,0.8
"72",72,1,1,1,1,1,1,510,0.3,0.3,0.3,0.8
"73",73,1,1,0.498,0.129,0.741,0.993,30,0.3,0.5,0.3,0.2
"74",74,1,1,0.969,0.327,0.998,1,120,0.3,0.5,0.3,0.2
"75",75,1,1,1,0.875,1,1,510,0.3,0.5,0.3,0.2
"76",76,0.999,1,0.471,0.044,0.666,0.985,30,0.3,0.5,0.3,0.4
"77",77,1,1,0.97,0.064,1,1,120,0.3,0.5,0.3,0.4
"78",78,1,1,1,0.051,1,1,510,0.3,0.5,0.3,0.4
"79",79,1,1,0.436,0.229,0.648,0.882,30,0.3,0.5,0.3,0.8
"80",80,1,1,0.986,0.794,0.999,1,120,0.3,0.5,0.3,0.8
"81",81,1,1,1,1,1,1,510,0.3,0.5,0.3,0.8
"82",82,0.696,1,0.08,0.047,0.766,0.063,30,0.3,0.1,0.5,0.2
"83",83,1,1,0.135,0.082,1,0.051,120,0.3,0.1,0.5,0.2
"84",84,1,1,0.318,0.12,1,0.074,510,0.3,0.1,0.5,0.2
"85",85,0.668,1,0.068,0.047,0.758,0.053,30,0.3,0.1,0.5,0.4
"86",86,0.999,1,0.128,0.07,0.999,0.073,120,0.3,0.1,0.5,0.4
"87",87,1,1,0.315,0.066,1,0.101,510,0.3,0.1,0.5,0.4
"88",88,0.675,1,0.072,0.065,0.766,0.072,30,0.3,0.1,0.5,0.8
"89",89,1,1,0.119,0.085,0.999,0.088,120,0.3,0.1,0.5,0.8
"90",90,1,1,0.326,0.236,1,0.177,510,0.3,0.1,0.5,0.8
