"","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","condition"
"22",0.997,0.997,0.999,0.997,1,0.035,0.039,0.98,0.997,0.993,0.05,0.054,0.969,0.352,0.848,1,0.034,0.036,0.976,0.998,0.145,0.95,0.06,0.047,0.939,0.282,0.766,0.05,0.055,0.0140562248995984,0.055,1,1,0.054,1,1,0.048,0,0.998442367601246,1,0,0.99194847020934,1,0.0579710144927536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"23",1,1,1,1,1,0.021,0.029,1,1,1,0.034,0.045,1,0.724,1,1,0.02,0.027,1,1,0.254,1,0.04,0.045,1,0.708,1,0.052,0.061,0.013,0.043,1,1,0.043,1,1,0.046,0,1,1,0,1,1,0.0533910533910534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"24",1,1,1,1,1,0.016,0.018,1,1,1,0.06,0.053,1,0.998,1,1,0.016,0.026,1,1,0.208,1,0.058,0.056,1,1,1,0.048,0.042,0.011,0.046,1,1,0.046,1,1,0.052,0,1,1,0,1,1,0.0547073791348601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"25",0.998,0.994,0.999,0.996,1,0.04,0.039,0.951,0.888,0.886,0.052,0.049,0.949,0.187,0.871,1,0.037,0.029,0.963,0.91,0.134,0.824,0.054,0.052,0.932,0.16,0.802,0.045,0.05,0.036,0.042,1,1,0.041,1,1,0.046,0,1,1,0,1,1,0.026813880126183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"26",1,1,1,1,1,0.014,0.018,1,1,1,0.048,0.044,1,0.514,0.998,1,0.014,0.018,1,1,0.228,1,0.042,0.041,1,0.475,0.998,0.051,0.043,0.042,0.039,1,1,0.039,1,1,0.046,0,1,1,0,1,1,0.0239520958083832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"27",1,1,1,1,1,0.012,0.019,1,1,1,0.041,0.046,1,0.933,1,1,0.013,0.016,1,1,0.24,1,0.034,0.042,1,0.93,1,0.045,0.036,0.039,0.048,1,1,0.048,1,1,0.056,0,1,1,0,1,1,0.0598503740648379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"28",0.984,0.979,0.977,0.977,0.834,0.287,0.121,0.995,0.239,0.777,0.116,0.063,0.996,0.1,0.361,0.785,0.268,0.116,0.984,0.232,0.146,0.54,0.126,0.064,0.957,0.08,0.018,0.404,0.207,0.0321428571428571,0.0417940876656473,1,0.994903160040775,0.046046046046046,1,1,0.998998998998999,0.0252747252747253,1,0.251648351648352,0.0242024202420242,1,0.253025302530253,0.0869086908690869,0.0575447570332481,1,0.827365728900256,0.359335038363171,0.0569007263922518,1,0.849878934624697,0.37046004842615,0.732445520581114,0.692493946731235,28
"29",1,1,1,1,1,0.85,0.397,1,0.754,1,0.35,0.1,1,0.294,0.97,1,0.864,0.408,1,0.861,0.316,0.998,0.411,0.108,1,0.537,0.014,0.984,0.907,0.0365111561866126,0.0570570570570571,1,1,0.052,1,1,1,0.0361083249749248,1,0.891675025075226,0.035035035035035,1,0.892892892892893,0.0880880880880881,0.201698513800425,1,1,0.920382165605096,0.202040816326531,1,1,0.947959183673469,1,0.998979591836735,29
"30",1,1,1,1,1,1,0.942,1,1,1,0.91,0.23,1,0.836,1,1,1,0.951,1,1,0.802,1,0.961,0.308,1,0.999,0.049,1,1,0.048,0.045,1,1,0.057,1,1,1,0.026,1,1,0.026,1,1,0.093,0.62,1,1,1,0.66,1,1,1,1,1,30
"31",0.987,0.987,0.985,0.984,0.823,0.266,0.152,0.997,0.291,0.741,0.102,0.07,0.997,0.059,0.405,0.77,0.254,0.159,0.992,0.299,0.131,0.507,0.113,0.067,0.972,0.095,0.012,0.416,0.228,0.0526315789473684,0.0442211055276382,1,0.992964824120603,0.047,1,0.999,0.957,0.0206521739130435,1,0.78804347826087,0.0240700218818381,1,0.781181619256017,0.0831509846827133,0.133333333333333,1,0.924358974358974,0.155128205128205,0.141636141636142,1,0.929181929181929,0.148962148962149,0.622710622710623,0.608058608058608,31
"32",1,1,1,1,1,0.854,0.587,1,0.901,1,0.349,0.177,1,0.195,0.992,1,0.858,0.596,1,0.946,0.342,0.998,0.412,0.199,1,0.606,0.022,0.983,0.891,0.05,0.057,1,1,0.071,1,1,1,0.03003003003003,1,1,0.0270541082164329,1,1,0.0661322645290581,0.514861995753715,1,1,0.571125265392781,0.520854526958291,1,1,0.59206510681587,0.993896236012208,0.989827060020346,32
"33",1,1,1,1,1,1,0.999,1,1,1,0.908,0.562,1,0.663,1,1,1,0.999,1,1,0.815,1,0.958,0.671,1,0.999,0.106,1,1,0.045,0.05,1,1,0.048,1,1,1,0.023,1,1,0.022,1,1,0.068,0.988988988988989,1,1,0.994994994994995,0.991,1,1,0.994,1,1,33
"34",0.984,0.98,0.985,0.982,0.824,0.297,0.264,0.997,0.396,0.639,0.121,0.108,0.994,0.046,0.518,0.774,0.286,0.253,0.99,0.426,0.126,0.433,0.133,0.119,0.97,0.118,0.024,0.418,0.178,0.04,0.048,1,0.985,0.047,1,0.988,0.41,0.0209020902090209,1,1,0.0199115044247788,1,1,0.0486725663716814,0.688157894736842,1,1,0.157894736842105,0.620174346201743,1,0.99252801992528,0.134495641344956,0.251556662515567,0.251556662515567,34
"35",1,1,1,1,1,0.868,0.809,1,0.965,0.995,0.351,0.298,1,0.072,1,1,0.865,0.815,1,0.977,0.326,0.983,0.408,0.346,1,0.629,0.081,0.992,0.896,0.054,0.049,1,1,0.052,1,1,0.95,0.0300902708124373,1,1,0.0290581162324649,1,1,0.0480961923847695,1,1,1,0.564430244941427,0.997940267765191,1,1,0.570545829042225,0.717816683831102,0.701338825952626,35
"36",1,1,1,1,1,1,1,1,1,1,0.903,0.841,1,0.196,1,1,1,1,1,1,0.842,1,0.956,0.912,1,0.999,0.603,1,1,0.053,0.04,1,1,0.04,1,1,1,0.026,1,1,0.024,1,1,0.071,1,1,1,0.992992992992993,1,1,1,0.996,1,0.999,36
"37",0.968,0.958,0.979,0.965,1,0.396,0.059,0.929,0.976,0.984,0.189,0.085,0.922,0.21,0.365,0.991,0.385,0.07,0.941,0.988,0.128,0.793,0.209,0.101,0.883,0.389,0.117,0.295,0.16,0.0266203703703704,0.064,1,1,0.062,1,1,0.989,0,1,0.884225759768452,0,1,0.879184861717613,0.0786026200873362,0,1,1,1,0.5,1,1,1,0.333333333333333,1,37
"38",1,1,1,1,1,0.983,0.092,1,1,1,0.611,0.131,1,0.722,0.831,1,0.98,0.111,1,1,0.381,1,0.683,0.175,1,0.991,0.178,0.962,0.597,0.0161616161616162,0.046046046046046,1,1,0.049,1,1,1,0.00120918984280532,1,1,0.00122850122850123,1,1,0.0601965601965602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"39",1,1,1,1,1,1,0.392,1,1,1,0.997,0.401,1,1,1,1,1,0.481,1,1,0.943,1,0.999,0.57,1,1,0.525,1,0.999,0.015,0.062,1,1,0.056,1,1,1,0,1,1,0.00204918032786885,1,1,0.0573770491803279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"40",0.969,0.951,0.981,0.963,1,0.392,0.082,0.925,0.98,0.954,0.176,0.092,0.921,0.187,0.498,0.993,0.367,0.087,0.941,0.985,0.146,0.709,0.192,0.111,0.884,0.368,0.126,0.266,0.148,0.0286591606960082,0.054,1,1,0.049,1,1,0.913,0.00139664804469274,1,1,0.00143884892086331,1,1,0.0748201438848921,0.666666666666667,1,1,0.666666666666667,1,1,1,1,0,0,40
"41",1,1,1,1,1,0.984,0.374,1,1,1,0.604,0.268,1,0.715,0.962,1,0.984,0.386,1,1,0.402,1,0.699,0.335,1,0.99,0.342,0.964,0.596,0.03,0.045,1,1,0.045,1,1,1,0,1,1,0,1,1,0.0691299165673421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"42",1,1,1,1,1,1,0.961,1,1,1,0.995,0.772,1,1,1,1,1,0.97,1,1,0.954,1,0.999,0.884,1,1,0.96,1,1,0.024,0.053,1,1,0.05,1,1,1,0,1,1,0,1,1,0.0613943808532778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"43",0.966,0.937,0.978,0.95,1,0.401,0.287,0.921,0.893,0.589,0.196,0.164,0.903,0.206,0.88,0.994,0.379,0.271,0.936,0.914,0.142,0.356,0.215,0.191,0.88,0.352,0.32,0.288,0.154,0.044,0.048,1,1,0.046,1,1,0.38,0,1,1,0.0053835800807537,1,1,0.0336473755047106,1,1,1,1,1,1,1,0.666666666666667,0,0.166666666666667,43
"44",1,1,1,1,1,0.983,0.904,1,1,0.993,0.599,0.522,1,0.672,1,1,0.981,0.913,1,1,0.423,0.87,0.703,0.618,1,0.953,0.989,0.967,0.565,0.046,0.055,1,1,0.055,1,1,0.923,0,1,1,0,1,1,0.0396634615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"45",1,1,1,1,1,1,1,1,1,1,0.997,0.986,1,0.997,1,1,1,1,1,1,0.957,1,0.997,0.996,1,1,1,1,1,0.038,0.045,1,1,0.048,1,1,1,0,1,1,0,1,1,0.0567595459236326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"46",1,1,1,1,1,0.418,0.066,0.958,1,1,0.095,0.082,0.952,0.327,0.736,0.999,0.374,0.073,0.965,0.998,0.117,0.947,0.118,0.125,0.938,0.437,0.54,0.286,0.398,0.00459242250287026,0.066,1,1,0.055,1,1,0.975,0,0.991961414790997,0.991961414790997,0,0.988429752066116,0.983471074380165,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"47",1,1,1,1,1,0.978,0.103,1,1,1,0.329,0.145,1,0.892,0.951,1,0.972,0.104,1,1,0.199,1,0.336,0.216,1,0.988,0.756,0.905,0.857,0.0101214574898785,0.046,1,1,0.043,1,1,1,0,1,1,0,1,1,0.0561151079136691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
"48",1,1,1,1,1,1,0.186,1,1,1,0.773,0.177,1,1,1,1,1,0.195,1,1,0.191,1,0.755,0.238,1,1,0.997,1,1,0.008,0.053,1,1,0.056,1,1,1,0,1,1,0,1,1,0.055207026348808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"49",0.999,0.998,0.999,0.999,1,0.395,0.051,0.961,0.999,0.986,0.11,0.092,0.956,0.268,0.812,0.998,0.364,0.053,0.958,0.998,0.151,0.893,0.121,0.108,0.918,0.365,0.642,0.265,0.396,0.0201409869083585,0.047,1,1,0.052,1,1,0.895,0,1,1,0.00161290322580645,0.995161290322581,1,0.0774193548387097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"50",1,1,1,1,1,0.98,0.062,1,1,1,0.302,0.138,1,0.818,0.998,1,0.975,0.068,1,1,0.159,1,0.323,0.191,1,0.947,0.921,0.927,0.842,0.019,0.055,1,1,0.057,1,1,1,0,1,1,0,1,1,0.0492537313432836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"51",1,1,1,1,1,1,0.154,1,1,1,0.765,0.227,1,1,1,1,1,0.154,1,1,0.172,1,0.762,0.278,1,1,1,1,1,0.017,0.057,1,1,0.05,1,1,1,0,1,1,0,1,1,0.060377358490566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"52",0.999,0.999,0.999,0.998,1,0.366,0.195,0.954,0.994,0.75,0.11,0.1,0.936,0.197,0.984,1,0.338,0.181,0.952,0.992,0.124,0.71,0.113,0.109,0.915,0.242,0.783,0.253,0.358,0.037,0.041,1,1,0.042,1,1,0.4,0,1,1,0,1,1,0.0272873194221509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
