"","f_p_sib0","f_p_sib1","f_p_sib2","f_p_sib3","coef_intercept_p_sib0","coef_y_mean_p_sib0","coef_con_mean_p_sib0","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_intercept_p_sib2","coef_y_mean_p_sib2","coef_con_mean_p_sib2","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_intercept_p_sib3","coef_y_mean_p_sib3","coef_con_mean_p_sib3","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_Intercept_p_MLM0","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_Intercept_p_MLM2","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_Intercept_p_MLM3","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_Intercept_p_MLM4","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_Intercept_p_MLM5","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_Intercept_p_MLM6","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6","condition"
"11",1,1,1,1,1,0.01,0.016,1,1,1,0.043,0.045,1,0.402,0.729,1,0.005,0.011,1,1,0.43,1,0.041,0.042,1,0.419,0.706,0.031,0.028,0.015,0.052,1,1,0.054,1,1,0.049,0,1,1,0,1,1,0.052,0.835,1,1,1,0.82,1,1,1,0.003,0.002,11
"12",1,1,1,1,1,0.01,0.029,1,1,1,0.047,0.038,1,0.943,1,1,0.007,0.022,1,1,0.959,1,0.044,0.038,1,0.982,1,0.237,0.215,0.017,0.037,1,1,0.037,1,1,0.035,0,1,1,0,1,1,0.045,1,1,1,1,1,1,1,1,0.005,0.005,12
"13",0.938,0.913,0.964,0.909,1,0.017,0.023,0.944,0.773,0.976,0.062,0.061,0.938,0.149,0.387,0.99,0.019,0.018,0.958,0.85,0.133,0.766,0.058,0.057,0.876,0.114,0.229,0.033,0.026,0.03,0.044,1,1,0.046,1,1,0.049,0.001,1,1,0.002,1,1,0.077,0.621,1,1,0.794,0.557,1,0.999,0.747,0.003,0.008,13
"14",1,1,1,1,1,0.007,0.023,1,1,1,0.044,0.047,1,0.339,0.895,1,0.006,0.019,1,1,0.429,1,0.042,0.041,1,0.353,0.856,0.017,0.025,0.031,0.049,1,1,0.049,1,1,0.042,0,1,1,0,1,1,0.067,1,1,1,1,1,1,1,1,0.004,0.003,14
"15",1,1,1,1,1,0.008,0.023,1,1,1,0.051,0.047,1,0.875,1,1,0.008,0.021,1,1,0.955,1,0.049,0.046,1,0.94,1,0.242,0.218,0.023,0.055,1,1,0.054,1,1,0.038,0,1,1,0,1,1,0.055,1,1,1,1,1,1,1,1,0.005,0.003,15
"16",0.949,0.928,0.959,0.908,1,0.021,0.022,0.953,0.427,0.787,0.059,0.05,0.944,0.105,0.419,0.998,0.019,0.02,0.965,0.468,0.119,0.58,0.051,0.044,0.9,0.094,0.242,0.026,0.025,0.041,0.047,1,1,0.05,1,1,0.047,0,1,1,0.001,1,1,0.063,1,1,1,0.527,1,1,1,0.444,0.001,0.006,16
"17",1,1,1,1,1,0.004,0.009,1,0.924,1,0.054,0.055,1,0.186,0.914,1,0.005,0.007,1,0.986,0.433,0.996,0.048,0.048,1,0.21,0.895,0.022,0.034,0.047,0.055,1,1,0.056,1,1,0.05,0.001,1,1,0.001,1,1,0.061,1,1,1,0.998,1,1,1,0.997,0.005,0.006,17
"18",1,1,1,1,1,0.002,0.006,1,1,1,0.046,0.043,1,0.578,1,1,0.003,0.007,1,1,0.957,1,0.046,0.037,1,0.67,1,0.238,0.228,0.039,0.062,1,1,0.062,1,1,0.058,0,1,1,0,1,1,0.04,1,1,1,1,1,1,1,1,0.004,0.003,18
"19",0.999,0.994,0.998,0.993,1,0.035,0.037,0.964,0.999,1,0.037,0.033,0.96,0.427,0.795,1,0.031,0.041,0.965,0.998,0.135,0.971,0.044,0.036,0.939,0.351,0.69,0.042,0.052,0.007,0.059,1,1,0.057,1,1,0.064,0,0.99,0.994,0,0.983,0.987,0.078,0.16,1,1,1,0.13,0.999,1,0.999,0.005,0.005,19
"20",1,1,1,1,1,0.018,0.027,1,1,1,0.044,0.042,1,0.793,0.987,1,0.017,0.03,1,1,0.238,1,0.045,0.042,1,0.776,0.981,0.054,0.054,0.012,0.035,1,1,0.037,1,1,0.052,0,1,1,0,1,1,0.059,0.988,1,1,1,0.985,1,1,1,0.002,0,20
"21",1,1,1,1,1,0.012,0.03,1,1,1,0.039,0.055,1,1,1,1,0.013,0.031,1,1,0.211,1,0.043,0.058,1,1,1,0.031,0.033,0.013,0.044,1,1,0.043,1,1,0.055,0,1,1,0,1,1,0.052,1,1,1,1,1,1,1,1,0,0,21
"22",0.997,0.997,0.999,0.997,1,0.035,0.039,0.98,0.997,0.993,0.05,0.054,0.969,0.352,0.848,1,0.034,0.036,0.976,0.998,0.145,0.95,0.06,0.047,0.939,0.282,0.766,0.05,0.055,0.014,0.055,1,1,0.054,1,1,0.048,0,0.999,1,0,0.994,1,0.063,0.819,1,1,0.911,0.746,1,1,0.875,0.003,0.001,22
"23",1,1,1,1,1,0.021,0.029,1,1,1,0.034,0.045,1,0.724,1,1,0.02,0.027,1,1,0.254,1,0.04,0.045,1,0.708,1,0.052,0.061,0.013,0.043,1,1,0.043,1,1,0.046,0,1,1,0,1,1,0.062,1,1,1,1,1,1,1,1,0,0,23
"24",1,1,1,1,1,0.016,0.018,1,1,1,0.06,0.053,1,0.998,1,1,0.016,0.026,1,1,0.208,1,0.058,0.056,1,1,1,0.048,0.042,0.011,0.046,1,1,0.046,1,1,0.052,0,1,1,0,1,1,0.055,1,1,1,1,1,1,1,1,0,0,24
"25",0.998,0.994,0.999,0.996,1,0.04,0.039,0.951,0.888,0.886,0.052,0.049,0.949,0.187,0.871,1,0.037,0.029,0.963,0.91,0.134,0.824,0.054,0.052,0.932,0.16,0.802,0.045,0.05,0.036,0.042,1,1,0.041,1,1,0.046,0,1,1,0,1,1,0.059,1,1,1,0.619,1,1,1,0.513,0,0,25
"26",1,1,1,1,1,0.014,0.018,1,1,1,0.048,0.044,1,0.514,0.998,1,0.014,0.018,1,1,0.228,1,0.042,0.041,1,0.475,0.998,0.051,0.043,0.042,0.039,1,1,0.039,1,1,0.046,0,1,1,0,1,1,0.039,1,1,1,1,1,1,1,1,0,0,26
"27",1,1,1,1,1,0.012,0.019,1,1,1,0.041,0.046,1,0.933,1,1,0.013,0.016,1,1,0.24,1,0.034,0.042,1,0.93,1,0.045,0.036,0.039,0.048,1,1,0.048,1,1,0.056,0,1,1,0,1,1,0.064,1,1,1,1,1,1,1,1,0,0,27
"28",0.984,0.979,0.977,0.977,0.834,0.287,0.121,0.995,0.239,0.777,0.116,0.063,0.996,0.1,0.361,0.785,0.268,0.116,0.984,0.232,0.146,0.54,0.126,0.064,0.957,0.08,0.018,0.404,0.207,0.038,0.043,1,0.995,0.046,1,1,0.999,0.032032032032032,1,0.263263263263263,0.03,1,0.264,0.088,0.069,1,0.834,0.365,0.065,1,0.858,0.378,0.712,0.676,28
"29",1,1,1,1,1,0.85,0.397,1,0.754,1,0.35,0.1,1,0.294,0.97,1,0.864,0.408,1,0.861,0.316,0.998,0.411,0.108,1,0.537,0.014,0.984,0.907,0.036,0.0570570570570571,1,1,0.052,1,1,1,0.036,1,0.892,0.035,1,0.893,0.088,0.2,1,1,0.922,0.203,1,1,0.948,1,0.999,29
"30",1,1,1,1,1,1,0.942,1,1,1,0.91,0.23,1,0.836,1,1,1,0.951,1,1,0.802,1,0.961,0.308,1,0.999,0.049,1,1,0.048,0.045,1,1,0.057,1,1,1,0.026,1,1,0.026,1,1,0.093,0.62,1,1,1,0.66,1,1,1,1,1,30
"31",0.987,0.987,0.985,0.984,0.823,0.266,0.152,0.997,0.291,0.741,0.102,0.07,0.997,0.059,0.405,0.77,0.254,0.159,0.992,0.299,0.131,0.507,0.113,0.067,0.972,0.095,0.012,0.416,0.228,0.054,0.044,1,0.993,0.047,1,0.999,0.957,0.026,1,0.802,0.03,1,0.795,0.081,0.157,1,0.939,0.178,0.158,1,0.937,0.165,0.607,0.594,31
"32",1,1,1,1,1,0.854,0.587,1,0.901,1,0.349,0.177,1,0.195,0.992,1,0.858,0.596,1,0.946,0.342,0.998,0.412,0.199,1,0.606,0.022,0.983,0.891,0.05,0.057,1,1,0.071,1,1,1,0.03,1,1,0.028,1,1,0.066,0.515,1,1,0.578,0.524,1,1,0.593,0.994,0.99,32
"33",1,1,1,1,1,1,0.999,1,1,1,0.908,0.562,1,0.663,1,1,1,0.999,1,1,0.815,1,0.958,0.671,1,0.999,0.106,1,1,0.045,0.05,1,1,0.048,1,1,1,0.023,1,1,0.022,1,1,0.068,0.989,1,1,0.995,0.991,1,1,0.994,1,1,33
"34",0.984,0.98,0.985,0.982,0.824,0.297,0.264,0.997,0.396,0.639,0.121,0.108,0.994,0.046,0.518,0.774,0.286,0.253,0.99,0.426,0.126,0.433,0.133,0.119,0.97,0.118,0.024,0.418,0.178,0.04,0.048,1,0.985,0.047,1,0.988,0.41,0.029,1,1,0.028,1,1,0.055,0.703,1,1,0.181,0.64,1,0.993,0.159,0.238,0.238,34
"35",1,1,1,1,1,0.868,0.809,1,0.965,0.995,0.351,0.298,1,0.072,1,1,0.865,0.815,1,0.977,0.326,0.983,0.408,0.346,1,0.629,0.081,0.992,0.896,0.054,0.049,1,1,0.052,1,1,0.95,0.03,1,1,0.029,1,1,0.048,1,1,1,0.57,0.998,1,1,0.573,0.712,0.701,35
"36",1,1,1,1,1,1,1,1,1,1,0.903,0.841,1,0.196,1,1,1,1,1,1,0.842,1,0.956,0.912,1,0.999,0.603,1,1,0.053,0.04,1,1,0.04,1,1,1,0.026,1,1,0.024,1,1,0.071,1,1,1,0.993,1,1,1,0.996,1,0.999,36
"37",0.968,0.958,0.979,0.965,1,0.396,0.059,0.929,0.976,0.984,0.189,0.085,0.922,0.21,0.365,0.991,0.385,0.07,0.941,0.988,0.128,0.793,0.209,0.101,0.883,0.389,0.117,0.295,0.16,0.029,0.064,1,1,0.062,1,1,0.989,0.001,1,0.911,0.001,1,0.904,0.075,0.145,1,1,0.966,0.127,1,1,0.968,0.248,0.274,37
"38",1,1,1,1,1,0.983,0.092,1,1,1,0.611,0.131,1,0.722,0.831,1,0.98,0.111,1,1,0.381,1,0.683,0.175,1,0.991,0.178,0.962,0.597,0.017,0.046046046046046,1,1,0.049,1,1,1,0.001,1,1,0.001,1,1,0.068,0.768,1,1,1,0.801,1,1,1,0.968,0.964,38
"39",1,1,1,1,1,1,0.392,1,1,1,0.997,0.401,1,1,1,1,1,0.481,1,1,0.943,1,0.999,0.57,1,1,0.525,1,0.999,0.015,0.062,1,1,0.056,1,1,1,0,1,1,0.002,1,1,0.058,1,1,1,1,1,1,1,1,1,1,39
"40",0.969,0.951,0.981,0.963,1,0.392,0.082,0.925,0.98,0.954,0.176,0.092,0.921,0.187,0.498,0.993,0.367,0.087,0.941,0.985,0.146,0.709,0.192,0.111,0.884,0.368,0.126,0.266,0.148,0.032,0.054,1,1,0.049,1,1,0.913,0.001,1,1,0.003,1,1,0.076,0.606,1,1,0.696,0.585,0.999,0.999,0.67,0.178,0.163,40
"41",1,1,1,1,1,0.984,0.374,1,1,1,0.604,0.268,1,0.715,0.962,1,0.984,0.386,1,1,0.402,1,0.699,0.335,1,0.99,0.342,0.964,0.596,0.03,0.045,1,1,0.045,1,1,1,0,1,1,0,1,1,0.07,1,1,1,0.999,0.999,1,1,1,0.86,0.88,41
"42",1,1,1,1,1,1,0.961,1,1,1,0.995,0.772,1,1,1,1,1,0.97,1,1,0.954,1,0.999,0.884,1,1,0.96,1,1,0.024,0.053,1,1,0.05,1,1,1,0,1,1,0,1,1,0.062,1,1,1,1,1,1,1,1,1,1,42
"43",0.966,0.937,0.978,0.95,1,0.401,0.287,0.921,0.893,0.589,0.196,0.164,0.903,0.206,0.88,0.994,0.379,0.271,0.936,0.914,0.142,0.356,0.215,0.191,0.88,0.352,0.32,0.288,0.154,0.044,0.048,1,1,0.046,1,1,0.38,0.001,1,1,0.006,1,1,0.05,1,1,1,0.526,0.999,1,1,0.473,0.053,0.06,43
"44",1,1,1,1,1,0.983,0.904,1,1,0.993,0.599,0.522,1,0.672,1,1,0.981,0.913,1,1,0.423,0.87,0.703,0.618,1,0.953,0.989,0.967,0.565,0.046,0.055,1,1,0.055,1,1,0.923,0,1,1,0,1,1,0.047,1,1,1,0.996,1,1,1,0.995,0.292,0.313,44
"45",1,1,1,1,1,1,1,1,1,1,0.997,0.986,1,0.997,1,1,1,1,1,1,0.957,1,0.997,0.996,1,1,1,1,1,0.038,0.045,1,1,0.048,1,1,1,0,1,1,0,1,1,0.058,1,1,1,1,1,1,1,1,0.961,0.971,45
"46",1,1,1,1,1,0.418,0.066,0.958,1,1,0.095,0.082,0.952,0.327,0.736,0.999,0.374,0.073,0.965,0.998,0.117,0.947,0.118,0.125,0.938,0.437,0.54,0.286,0.398,0.004,0.066,1,1,0.055,1,1,0.975,0,0.992,0.993,0,0.983,0.989,0.086,0.164,0.998,1,0.996,0.136,0.999,1,0.992,0.061,0.067,46
"47",1,1,1,1,1,0.978,0.103,1,1,1,0.329,0.145,1,0.892,0.951,1,0.972,0.104,1,1,0.199,1,0.336,0.216,1,0.988,0.756,0.905,0.857,0.011,0.046,1,1,0.043,1,1,1,0,1,1,0,1,1,0.053,0.98,1,1,1,0.982,1,1,1,0.692,0.674,47
"48",1,1,1,1,1,1,0.186,1,1,1,0.773,0.177,1,1,1,1,1,0.195,1,1,0.191,1,0.755,0.238,1,1,0.997,1,1,0.008,0.053,1,1,0.056,1,1,1,0,1,1,0,1,1,0.059,1,1,1,1,1,1,1,1,1,1,48
"49",0.999,0.998,0.999,0.999,1,0.395,0.051,0.961,0.999,0.986,0.11,0.092,0.956,0.268,0.812,0.998,0.364,0.053,0.958,0.998,0.151,0.893,0.121,0.108,0.918,0.365,0.642,0.265,0.396,0.021,0.047,1,1,0.052,1,1,0.895,0,0.999,1,0.001,0.997,1,0.079,0.768,1,1,0.879,0.718,1,1,0.818,0.043,0.038,49
"50",1,1,1,1,1,0.98,0.062,1,1,1,0.302,0.138,1,0.818,0.998,1,0.975,0.068,1,1,0.159,1,0.323,0.191,1,0.947,0.921,0.927,0.842,0.019,0.055,1,1,0.057,1,1,1,0,1,1,0,1,1,0.051,1,1,1,1,1,1,1,1,0.456,0.462,50
"51",1,1,1,1,1,1,0.154,1,1,1,0.765,0.227,1,1,1,1,1,0.154,1,1,0.172,1,0.762,0.278,1,1,1,1,1,0.017,0.057,1,1,0.05,1,1,1,0,1,1,0,1,1,0.061,1,1,1,1,1,1,1,1,1,1,51
"52",0.999,0.999,0.999,0.998,1,0.366,0.195,0.954,0.994,0.75,0.11,0.1,0.936,0.197,0.984,1,0.338,0.181,0.952,0.992,0.124,0.71,0.113,0.109,0.915,0.242,0.783,0.253,0.358,0.037,0.041,1,1,0.042,1,1,0.4,0,1,1,0,1,1,0.065,1,1,1,0.666,0.999,1,1,0.579,0.002,0.005,52
"53",1,1,1,1,1,0.973,0.696,1,1,0.994,0.313,0.244,1,0.634,1,1,0.965,0.693,1,1,0.182,0.95,0.329,0.268,1,0.794,1,0.931,0.852,0.054,0.056,1,1,0.056,1,1,0.94,0,1,1,0,1,1,0.055,1,1,1,1,1,1,1,1,0.054,0.055,53
"54",1,1,1,1,1,1,1,1,1,1,0.775,0.629,1,0.998,1,1,1,0.999,1,1,0.184,1,0.772,0.633,1,1,1,1,1,0.036,0.045,1,1,0.045,1,1,1,0,1,1,0,1,1,0.059,1,1,1,1,1,1,1,1,0.719,0.74,54
"55",0.847,0.953,0.811,0.994,0.989,0.16,0.058,0.873,0.121,0.991,0.096,0.055,0.764,0.291,0.541,0.981,0.146,0.058,0.819,0.117,0.117,0.714,0.112,0.06,0.951,0.147,0.031,0.856,0.85,0.037,0.05,1,0.593,0.045,1,0.907,1,0.043,1,0.203,0.044,1,0.203,0.114,0.071,1,0.446,0.096,0.054,1,0.505,0.116,0.976,0.979,55
"56",1,1,1,1,1,0.528,0.08,1,0.416,1,0.212,0.044,1,0.789,0.998,1,0.531,0.087,1,0.604,0.305,1,0.33,0.072,1,0.896,0.274,1,1,0.047,0.039,1,0.997,0.043043043043043,1,1,1,0.034,1,0.78,0.034,1,0.779,0.113,0.122,1,0.979,0.374,0.137,1,0.996,0.431,1,1,56
"57",1,1,1,1,1,0.983,0.163,1,0.951,1,0.634,0.073,1,1,1,1,0.98,0.18,1,0.999,0.715,1,0.838,0.103,1,1,0.988,1,1,0.052,0.046,1,1,0.036,1,1,1,0.041,1,1,0.039,1,1,0.09,0.49,1,1,0.925,0.546,1,1,0.976,1,1,57
"58",0.829,0.937,0.789,0.979,0.978,0.173,0.09,0.857,0.149,0.981,0.106,0.051,0.757,0.26,0.581,0.97,0.167,0.082,0.808,0.157,0.127,0.653,0.119,0.06,0.931,0.154,0.033,0.856,0.842,0.056,0.039,1,0.61,0.052,1,0.747,1,0.037,1,0.597,0.038,1,0.583,0.09,0.099,1,0.646,0.06,0.104,1,0.611,0.059,0.887,0.892,58
"59",1,1,1,1,1,0.539,0.202,1,0.546,1,0.222,0.064,1,0.758,0.999,1,0.531,0.207,1,0.731,0.297,1,0.325,0.09,1,0.89,0.36,1,1,0.047,0.047,1,0.995,0.055,1,0.997,1,0.043,1,0.998,0.044,1,0.997,0.087,0.329,1,0.999,0.111,0.337,1,1,0.102,1,1,59
"60",1,1,1,1,1,0.985,0.631,1,0.988,1,0.611,0.113,1,0.999,1,1,0.98,0.649,1,1,0.75,1,0.832,0.172,1,1,0.994,1,1,0.036,0.056,1,1,0.052,1,1,1,0.052,1,1,0.053,1,1,0.09,0.893,1,1,0.322,0.902,1,1,0.339,1,1,60
"61",0.799,0.914,0.78,0.977,0.978,0.148,0.127,0.846,0.185,0.967,0.083,0.068,0.715,0.164,0.584,0.962,0.154,0.119,0.787,0.204,0.163,0.61,0.085,0.067,0.926,0.145,0.055,0.852,0.83,0.044,0.046,1,0.498,0.051,1,0.534,0.54,0.027,1,1,0.033,1,1,0.053,0.419,1,0.961,0.213,0.393,1,0.922,0.194,0.395,0.4,61
"62",1,1,1,1,1,0.513,0.424,1,0.647,1,0.193,0.145,0.999,0.557,0.999,1,0.505,0.424,1,0.765,0.32,1,0.309,0.222,1,0.892,0.563,1,1,0.054,0.041,1,0.989,0.039,1,0.99,0.984,0.031,1,1,0.029,1,1,0.053,0.967,1,1,0.668,0.963,1,1,0.666,0.869,0.882,62
"63",1,1,1,1,1,0.981,0.96,1,0.999,1,0.607,0.468,1,0.993,1,1,0.979,0.958,1,1,0.799,1,0.836,0.723,1,1,1,1,1,0.051,0.055,1,1,0.056,1,1,1,0.049,1,1,0.047,1,1,0.062,1,1,1,0.998,1,1,1,0.999,1,1,63
"64",0.972,0.978,0.97,0.995,0.999,0.489,0.048,0.695,0.822,0.996,0.213,0.059,0.66,0.088,0.479,0.997,0.451,0.053,0.673,0.828,0.101,0.791,0.285,0.09,0.863,0.445,0.089,0.777,0.742,0.024,0.071,1,1,0.065,1,1,1,0.011,1,0.825,0.009,0.999,0.805,0.105,0.16,1,0.999,0.631,0.156,0.998,0.999,0.709,0.912,0.93,64
"65",1,1,1,1,1,0.983,0.053,0.999,1,1,0.645,0.104,0.999,0.112,0.994,1,0.984,0.054,0.999,1,0.22,1,0.819,0.136,0.999,0.998,0.356,0.999,0.999,0.033,0.045,1,1,0.05,1,1,1,0.012,1,1,0.009,1,1,0.087,0.618,1,1,0.996,0.715,1,1,1,1,1,65
"66",1,1,1,1,1,1,0.048,1,1,1,0.994,0.311,1,0.216,1,1,1,0.056,1,1,0.521,1,1,0.352,1,1,0.965,1,1,0.03,0.047,1,1,0.044,1,1,1,0.009,1,1,0.008,1,1,0.067,0.996,1,1,1,1,1,1,1,1,1,66
"67",0.964,0.964,0.957,0.989,1,0.496,0.087,0.642,0.842,0.986,0.204,0.054,0.606,0.066,0.629,0.999,0.464,0.084,0.602,0.844,0.119,0.698,0.265,0.066,0.857,0.399,0.115,0.771,0.706,0.035,0.057,1,1,0.058,1,1,0.998,0.005,1,1,0.008,1,0.999,0.084,0.402,1,0.999,0.199,0.429,0.999,0.999,0.228,0.802,0.815,67
"68",1,1,1,1,1,0.988,0.326,1,1,1,0.638,0.083,1,0.137,1,1,0.986,0.319,1,1,0.24,1,0.818,0.134,1,0.998,0.687,1,1,0.028,0.05,1,1,0.051,1,1,1,0.01,1,1,0.008,1,1,0.087,0.971,1,1,0.765,0.986,1,1,0.807,1,1,68
"69",1,1,1,1,1,1,0.882,1,1,1,0.997,0.166,1,0.421,1,1,1,0.883,1,1,0.571,1,1,0.33,1,1,1,1,1,0.042,0.042,1,1,0.047,1,1,1,0.008,1,1,0.009,1,1,0.081,1,1,1,1,1,1,1,1,1,1,69
"70",0.927,0.936,0.935,0.978,1,0.49,0.367,0.542,0.756,0.828,0.186,0.137,0.49,0.108,0.784,1,0.447,0.319,0.524,0.75,0.095,0.314,0.248,0.187,0.819,0.405,0.301,0.756,0.637,0.046,0.05,1,0.997,0.054,1,0.998,0.547,0.006,1,1,0.008,1,1,0.046,0.993,1,1,0.665,0.98,1,1,0.624,0.283,0.265,70
"71",1,1,1,1,1,0.988,0.933,0.999,1,1,0.637,0.453,0.999,0.273,1,1,0.989,0.923,0.999,1,0.232,0.955,0.82,0.654,1,0.998,0.997,1,1,0.052,0.051,1,1,0.046,1,1,0.984,0.007,1,1,0.008,1,1,0.053,1,1,1,1,1,1,1,1,0.833,0.838,71
