"","condition","coef_fixed_Intercept_p_MLM1","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","CN","beta1","beta2","beta3","ICC"
"74",74,0.061,1,1,120,0.3,0.5,0.3,0.2
"75",75,0.035,1,1,510,0.3,0.5,0.3,0.2
"76",76,0.057,0.999,1,30,0.3,0.5,0.3,0.4
"77",77,0.047,1,1,120,0.3,0.5,0.3,0.4
"78",78,0.047,1,1,510,0.3,0.5,0.3,0.4
"79",79,0.048,1,1,30,0.3,0.5,0.3,0.8
"80",80,0.058,1,1,120,0.3,0.5,0.3,0.8
"81",81,0.056,1,1,510,0.3,0.5,0.3,0.8
"82",82,0.045,0.998,0.321,30,0.3,0.1,0.5,0.2
"83",83,0.043,1,0.852,120,0.3,0.1,0.5,0.2
"84",84,0.053,1,1,510,0.3,0.1,0.5,0.2
"85",85,0.053,1,0.308,30,0.3,0.1,0.5,0.4
"86",86,0.044,1,0.818,120,0.3,0.1,0.5,0.4
"87",87,0.058,1,1,510,0.3,0.1,0.5,0.4
"88",88,0.047,1,0.246,30,0.3,0.1,0.5,0.8
"89",89,0.043,1,0.742,120,0.3,0.1,0.5,0.8
"90",90,0.045,1,1,510,0.3,0.1,0.5,0.8
"91",91,0.054,0.99,0.992,30,0.3,0.3,0.5,0.2
"92",92,0.057,1,1,120,0.3,0.3,0.5,0.2
"93",93,0.071,1,1,510,0.3,0.3,0.5,0.2
"94",94,0.055,0.999,0.974,30,0.3,0.3,0.5,0.4
"95",95,0.034,1,1,120,0.3,0.3,0.5,0.4
"96",96,0.043,1,1,510,0.3,0.3,0.5,0.4
"97",97,0.049,1,0.923,30,0.3,0.3,0.5,0.8
"98",98,0.048,1,1,120,0.3,0.3,0.5,0.8
"99",99,0.058,1,1,510,0.3,0.3,0.5,0.8
"100",100,0.056,0.973,1,30,0.3,0.5,0.5,0.2
"101",101,0.033,1,1,120,0.3,0.5,0.5,0.2
"102",102,0.064,1,1,510,0.3,0.5,0.5,0.2
"103",103,0.056,0.976,1,30,0.3,0.5,0.5,0.4
"104",104,0.043,1,1,120,0.3,0.5,0.5,0.4
"105",105,0.04,1,1,510,0.3,0.5,0.5,0.4
"106",106,0.058,0.989,1,30,0.3,0.5,0.5,0.8
"107",107,0.058,1,1,120,0.3,0.5,0.5,0.8
