"","condition","f_p_sib1","coef_intercept_p_sib1","coef_y_mean_p_sib1","coef_con_mean_p_sib1","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","CN","beta1","beta2","beta3","ICC"
"103",103,0.901,0.996,0.14,0.075,0.401,0.132,0.229,30,0.3,0.5,0.5,0.4
"104",104,1,1,0.326,0.181,0.916,0.271,0.887,120,0.3,0.5,0.5,0.4
"105",105,1,1,0.842,0.561,1,0.799,1,510,0.3,0.5,0.5,0.4
"106",106,0.818,0.904,0.122,0.07,0.352,0.101,0.272,30,0.3,0.5,0.5,0.8
"107",107,1,1,0.324,0.14,0.862,0.306,0.9,120,0.3,0.5,0.5,0.8
"108",108,1,1,0.837,0.414,1,0.844,1,510,0.3,0.5,0.5,0.8
"109",109,1,0.501,0.062,0.055,1,0.048,0.063,30,0.3,0,0,0.2
"110",110,1,0.993,0.053,0.055,1,0.057,0.031,120,0.3,0,0,0.2
"111",111,1,1,0.049,0.052,1,0.062,0.058,510,0.3,0,0,0.2
"112",112,1,0.525,0.044,0.046,1,0.057,0.05,30,0.3,0,0,0.4
"113",113,1,0.994,0.065,0.05,1,0.059,0.054,120,0.3,0,0,0.4
"114",114,1,1,0.044,0.05,1,0.049,0.056,510,0.3,0,0,0.4
"115",115,1,0.515,0.07,0.066,1,0.044,0.05,30,0.3,0,0,0.8
"116",116,1,0.994,0.051,0.048,1,0.048,0.041,120,0.3,0,0,0.8
"117",117,1,1,0.049,0.049,1,0.049,0.03,510,0.3,0,0,0.8
